REFACTORINGS (LABELS),FEATURE REQUEST,SMELLS
"   Rename Method,Extract Method,","Improve PDFDebugger (This is an idea for the [Google Summer of Code 2015|https://www.google-melange.com/])

Our command line utility PDFDebugger (part of the command line pdfbox-app get it [here|https://pdfbox.apache.org/downloads.html], read description [here|https://pdfbox.apache.org/commandline/], see the source code [here|https://svn.apache.org/viewvc/pdfbox/trunk/tools/src/main/java/org/apache/pdfbox/tools/PDFDebugger.java?view=markup&sortby=date]) needs some improvements:
   - hex view
   - view of non printable characters
   - âœ“ saving streams
   - binary copy & paste
   - âœ“ Create a status line that shows where we are in the tree. (Like in the Windows REGEDIT)
   - âœ“ Copy the current tree string into the clipboard (useful in discussions about details of a PDF)
   - âœ“ (Optional, not sure if easy) Jump to specific place in the tree by entering tree string
   - âœ“ ability to search in streams (very useful for content streams and meta data)
   - âœ“ show images that are streams
   - âœ“ show PDIndexed color lookup table, show the index value, the base and RGB color value sets when the mouse moves
   - âœ“ show PDSeparation color
   - âœ“ show PDDeviceN colors
   - optional, idea should be developed a bit: show meaningful explanation on some attributes, e.g. ""appearance stream"" when hovering over /AP
   - show font encodings and characters
   - âœ“ display flag bits (e.g. Annotation flags) in a way that is easy to understand. There are probably others, I assume that the main work needs to be done only once
   - edit attributes (should be possible to enter values as decimal, hex or binary)
   - edit streams, while keeping or changing the compression filter
   - save altered PDF 
   - âœ“ color mark of certain PDF operators, especially Q...q and text operators (BT...ET). Ideally, it should help the user understand the ""bracketing"" of these operators, i.e. understand where a sequence starts and where it ends. (See ""operator summary"" in the PDF Spec) Other ""important"" operators I can think of are the matrix, font and color operators. A cool advanced thing would be to show the current color or the font in a popup when hovering above such an operator.

To see a product with a similar purpose that is better than PDFDebugger, watch [this video|https://www.youtube.com/watch?v=g-QcU9B4qMc].

I'm not asking to implement a clone of that product (I don't use it, all I know is that video), but we at PDFBox really need something that makes PDF debugging easier. As an example of how the current PDFDebugger prevented me from finding a bug quickly, see PDFBOX-2401 and search for ""PDFDebugger"".

Prerequisites:
- java programming, especially the GUI components
- the ability to understand existing source code

Using external software components is possible (must have Apache License or a compatible one), but should be decided on a case-by-case basis, we don't want to get too big.

Development strategy: go from the easy to the difficult. The wished features are already sorted this way (mostly).

Get introduced: [download the source code with svn|https://pdfbox.apache.org/downloads.html#scm] and build it with maven. Run PDFDebugger and view some PDFs to see the components of a PDF. Start with the file of PDFBOX-2401. Read up something about the structure of PDF on the web or from the [PDF Specification|https://www.adobe.com/devnet/pdf/pdf_reference.html].

Mentor: Tilman Hausherr (European timezone, languages: german, english, french). To see the GSoC2014 project I mentored, go to PDFBOX-1915.","Duplicated Code, Long Method, , "
"   Move Method,Move Attribute,","Improve PDFDebugger (This is an idea for the [Google Summer of Code 2015|https://www.google-melange.com/])

Our command line utility PDFDebugger (part of the command line pdfbox-app get it [here|https://pdfbox.apache.org/downloads.html], read description [here|https://pdfbox.apache.org/commandline/], see the source code [here|https://svn.apache.org/viewvc/pdfbox/trunk/tools/src/main/java/org/apache/pdfbox/tools/PDFDebugger.java?view=markup&sortby=date]) needs some improvements:
   - hex view
   - view of non printable characters
   - âœ“ saving streams
   - binary copy & paste
   - âœ“ Create a status line that shows where we are in the tree. (Like in the Windows REGEDIT)
   - âœ“ Copy the current tree string into the clipboard (useful in discussions about details of a PDF)
   - âœ“ (Optional, not sure if easy) Jump to specific place in the tree by entering tree string
   - âœ“ ability to search in streams (very useful for content streams and meta data)
   - âœ“ show images that are streams
   - âœ“ show PDIndexed color lookup table, show the index value, the base and RGB color value sets when the mouse moves
   - âœ“ show PDSeparation color
   - âœ“ show PDDeviceN colors
   - optional, idea should be developed a bit: show meaningful explanation on some attributes, e.g. ""appearance stream"" when hovering over /AP
   - show font encodings and characters
   - âœ“ display flag bits (e.g. Annotation flags) in a way that is easy to understand. There are probably others, I assume that the main work needs to be done only once
   - edit attributes (should be possible to enter values as decimal, hex or binary)
   - edit streams, while keeping or changing the compression filter
   - save altered PDF 
   - âœ“ color mark of certain PDF operators, especially Q...q and text operators (BT...ET). Ideally, it should help the user understand the ""bracketing"" of these operators, i.e. understand where a sequence starts and where it ends. (See ""operator summary"" in the PDF Spec) Other ""important"" operators I can think of are the matrix, font and color operators. A cool advanced thing would be to show the current color or the font in a popup when hovering above such an operator.

To see a product with a similar purpose that is better than PDFDebugger, watch [this video|https://www.youtube.com/watch?v=g-QcU9B4qMc].

I'm not asking to implement a clone of that product (I don't use it, all I know is that video), but we at PDFBox really need something that makes PDF debugging easier. As an example of how the current PDFDebugger prevented me from finding a bug quickly, see PDFBOX-2401 and search for ""PDFDebugger"".

Prerequisites:
- java programming, especially the GUI components
- the ability to understand existing source code

Using external software components is possible (must have Apache License or a compatible one), but should be decided on a case-by-case basis, we don't want to get too big.

Development strategy: go from the easy to the difficult. The wished features are already sorted this way (mostly).

Get introduced: [download the source code with svn|https://pdfbox.apache.org/downloads.html#scm] and build it with maven. Run PDFDebugger and view some PDFs to see the components of a PDF. Start with the file of PDFBOX-2401. Read up something about the structure of PDF on the web or from the [PDF Specification|https://www.adobe.com/devnet/pdf/pdf_reference.html].

Mentor: Tilman Hausherr (European timezone, languages: german, english, french). To see the GSoC2014 project I mentored, go to PDFBOX-1915.",", , , "
"   Rename Method,","Improve PDFDebugger (This is an idea for the [Google Summer of Code 2015|https://www.google-melange.com/])

Our command line utility PDFDebugger (part of the command line pdfbox-app get it [here|https://pdfbox.apache.org/downloads.html], read description [here|https://pdfbox.apache.org/commandline/], see the source code [here|https://svn.apache.org/viewvc/pdfbox/trunk/tools/src/main/java/org/apache/pdfbox/tools/PDFDebugger.java?view=markup&sortby=date]) needs some improvements:
   - hex view
   - view of non printable characters
   - âœ“ saving streams
   - binary copy & paste
   - âœ“ Create a status line that shows where we are in the tree. (Like in the Windows REGEDIT)
   - âœ“ Copy the current tree string into the clipboard (useful in discussions about details of a PDF)
   - âœ“ (Optional, not sure if easy) Jump to specific place in the tree by entering tree string
   - âœ“ ability to search in streams (very useful for content streams and meta data)
   - âœ“ show images that are streams
   - âœ“ show PDIndexed color lookup table, show the index value, the base and RGB color value sets when the mouse moves
   - âœ“ show PDSeparation color
   - âœ“ show PDDeviceN colors
   - optional, idea should be developed a bit: show meaningful explanation on some attributes, e.g. ""appearance stream"" when hovering over /AP
   - show font encodings and characters
   - âœ“ display flag bits (e.g. Annotation flags) in a way that is easy to understand. There are probably others, I assume that the main work needs to be done only once
   - edit attributes (should be possible to enter values as decimal, hex or binary)
   - edit streams, while keeping or changing the compression filter
   - save altered PDF 
   - âœ“ color mark of certain PDF operators, especially Q...q and text operators (BT...ET). Ideally, it should help the user understand the ""bracketing"" of these operators, i.e. understand where a sequence starts and where it ends. (See ""operator summary"" in the PDF Spec) Other ""important"" operators I can think of are the matrix, font and color operators. A cool advanced thing would be to show the current color or the font in a popup when hovering above such an operator.

To see a product with a similar purpose that is better than PDFDebugger, watch [this video|https://www.youtube.com/watch?v=g-QcU9B4qMc].

I'm not asking to implement a clone of that product (I don't use it, all I know is that video), but we at PDFBox really need something that makes PDF debugging easier. As an example of how the current PDFDebugger prevented me from finding a bug quickly, see PDFBOX-2401 and search for ""PDFDebugger"".

Prerequisites:
- java programming, especially the GUI components
- the ability to understand existing source code

Using external software components is possible (must have Apache License or a compatible one), but should be decided on a case-by-case basis, we don't want to get too big.

Development strategy: go from the easy to the difficult. The wished features are already sorted this way (mostly).

Get introduced: [download the source code with svn|https://pdfbox.apache.org/downloads.html#scm] and build it with maven. Run PDFDebugger and view some PDFs to see the components of a PDF. Start with the file of PDFBOX-2401. Read up something about the structure of PDF on the web or from the [PDF Specification|https://www.adobe.com/devnet/pdf/pdf_reference.html].

Mentor: Tilman Hausherr (European timezone, languages: german, english, french). To see the GSoC2014 project I mentored, go to PDFBOX-1915.",", "
"   Rename Method,","Improve PDFDebugger (This is an idea for the [Google Summer of Code 2015|https://www.google-melange.com/])

Our command line utility PDFDebugger (part of the command line pdfbox-app get it [here|https://pdfbox.apache.org/downloads.html], read description [here|https://pdfbox.apache.org/commandline/], see the source code [here|https://svn.apache.org/viewvc/pdfbox/trunk/tools/src/main/java/org/apache/pdfbox/tools/PDFDebugger.java?view=markup&sortby=date]) needs some improvements:
   - hex view
   - view of non printable characters
   - âœ“ saving streams
   - binary copy & paste
   - âœ“ Create a status line that shows where we are in the tree. (Like in the Windows REGEDIT)
   - âœ“ Copy the current tree string into the clipboard (useful in discussions about details of a PDF)
   - âœ“ (Optional, not sure if easy) Jump to specific place in the tree by entering tree string
   - âœ“ ability to search in streams (very useful for content streams and meta data)
   - âœ“ show images that are streams
   - âœ“ show PDIndexed color lookup table, show the index value, the base and RGB color value sets when the mouse moves
   - âœ“ show PDSeparation color
   - âœ“ show PDDeviceN colors
   - optional, idea should be developed a bit: show meaningful explanation on some attributes, e.g. ""appearance stream"" when hovering over /AP
   - show font encodings and characters
   - âœ“ display flag bits (e.g. Annotation flags) in a way that is easy to understand. There are probably others, I assume that the main work needs to be done only once
   - edit attributes (should be possible to enter values as decimal, hex or binary)
   - edit streams, while keeping or changing the compression filter
   - save altered PDF 
   - âœ“ color mark of certain PDF operators, especially Q...q and text operators (BT...ET). Ideally, it should help the user understand the ""bracketing"" of these operators, i.e. understand where a sequence starts and where it ends. (See ""operator summary"" in the PDF Spec) Other ""important"" operators I can think of are the matrix, font and color operators. A cool advanced thing would be to show the current color or the font in a popup when hovering above such an operator.

To see a product with a similar purpose that is better than PDFDebugger, watch [this video|https://www.youtube.com/watch?v=g-QcU9B4qMc].

I'm not asking to implement a clone of that product (I don't use it, all I know is that video), but we at PDFBox really need something that makes PDF debugging easier. As an example of how the current PDFDebugger prevented me from finding a bug quickly, see PDFBOX-2401 and search for ""PDFDebugger"".

Prerequisites:
- java programming, especially the GUI components
- the ability to understand existing source code

Using external software components is possible (must have Apache License or a compatible one), but should be decided on a case-by-case basis, we don't want to get too big.

Development strategy: go from the easy to the difficult. The wished features are already sorted this way (mostly).

Get introduced: [download the source code with svn|https://pdfbox.apache.org/downloads.html#scm] and build it with maven. Run PDFDebugger and view some PDFs to see the components of a PDF. Start with the file of PDFBOX-2401. Read up something about the structure of PDF on the web or from the [PDF Specification|https://www.adobe.com/devnet/pdf/pdf_reference.html].

Mentor: Tilman Hausherr (European timezone, languages: german, english, french). To see the GSoC2014 project I mentored, go to PDFBOX-1915.",", "
"   Rename Method,","Improve PDFDebugger (This is an idea for the [Google Summer of Code 2015|https://www.google-melange.com/])

Our command line utility PDFDebugger (part of the command line pdfbox-app get it [here|https://pdfbox.apache.org/downloads.html], read description [here|https://pdfbox.apache.org/commandline/], see the source code [here|https://svn.apache.org/viewvc/pdfbox/trunk/tools/src/main/java/org/apache/pdfbox/tools/PDFDebugger.java?view=markup&sortby=date]) needs some improvements:
   - hex view
   - view of non printable characters
   - âœ“ saving streams
   - binary copy & paste
   - âœ“ Create a status line that shows where we are in the tree. (Like in the Windows REGEDIT)
   - âœ“ Copy the current tree string into the clipboard (useful in discussions about details of a PDF)
   - âœ“ (Optional, not sure if easy) Jump to specific place in the tree by entering tree string
   - âœ“ ability to search in streams (very useful for content streams and meta data)
   - âœ“ show images that are streams
   - âœ“ show PDIndexed color lookup table, show the index value, the base and RGB color value sets when the mouse moves
   - âœ“ show PDSeparation color
   - âœ“ show PDDeviceN colors
   - optional, idea should be developed a bit: show meaningful explanation on some attributes, e.g. ""appearance stream"" when hovering over /AP
   - show font encodings and characters
   - âœ“ display flag bits (e.g. Annotation flags) in a way that is easy to understand. There are probably others, I assume that the main work needs to be done only once
   - edit attributes (should be possible to enter values as decimal, hex or binary)
   - edit streams, while keeping or changing the compression filter
   - save altered PDF 
   - âœ“ color mark of certain PDF operators, especially Q...q and text operators (BT...ET). Ideally, it should help the user understand the ""bracketing"" of these operators, i.e. understand where a sequence starts and where it ends. (See ""operator summary"" in the PDF Spec) Other ""important"" operators I can think of are the matrix, font and color operators. A cool advanced thing would be to show the current color or the font in a popup when hovering above such an operator.

To see a product with a similar purpose that is better than PDFDebugger, watch [this video|https://www.youtube.com/watch?v=g-QcU9B4qMc].

I'm not asking to implement a clone of that product (I don't use it, all I know is that video), but we at PDFBox really need something that makes PDF debugging easier. As an example of how the current PDFDebugger prevented me from finding a bug quickly, see PDFBOX-2401 and search for ""PDFDebugger"".

Prerequisites:
- java programming, especially the GUI components
- the ability to understand existing source code

Using external software components is possible (must have Apache License or a compatible one), but should be decided on a case-by-case basis, we don't want to get too big.

Development strategy: go from the easy to the difficult. The wished features are already sorted this way (mostly).

Get introduced: [download the source code with svn|https://pdfbox.apache.org/downloads.html#scm] and build it with maven. Run PDFDebugger and view some PDFs to see the components of a PDF. Start with the file of PDFBOX-2401. Read up something about the structure of PDF on the web or from the [PDF Specification|https://www.adobe.com/devnet/pdf/pdf_reference.html].

Mentor: Tilman Hausherr (European timezone, languages: german, english, french). To see the GSoC2014 project I mentored, go to PDFBOX-1915.",", "
"   Rename Method,Extract Method,","Subset embedded TTF fonts Now that PDFBOX-922 is fixed, we have working TTF embedding. However, the entire font is embedded, which is rather large. We already have a TTFSubsetter class in FontBox, which is never used, so we should make use of it.","Duplicated Code, Long Method, , "
"   Rename Class,Inline Method,",Improve examples Our examples are in need of improvement before 2.0 is released. Many examples are using obsolete APIs and don't follow our coding conventions. Many are too simple or too complex.,", , "
"   Extract Method,Inline Method,",Improve examples Our examples are in need of improvement before 2.0 is released. Many examples are using obsolete APIs and don't follow our coding conventions. Many are too simple or too complex.,"Duplicated Code, Long Method, , , "
"   Rename Method,","Improve PDPageContentStream API The PDPageContentStream API uses some methods with incorrect and misleading names, and some unusual choices of parameters. These can be fairly easily cleaned up.",", "
"   Rename Method,Extract Method,","Improve PDPageContentStream API The PDPageContentStream API uses some methods with incorrect and misleading names, and some unusual choices of parameters. These can be fairly easily cleaned up.","Duplicated Code, Long Method, , "
"   Rename Method,","Improve PDPageContentStream API The PDPageContentStream API uses some methods with incorrect and misleading names, and some unusual choices of parameters. These can be fairly easily cleaned up.",", "
"   Rename Method,","Allow sharing of COS objects between different documents A number of users on the mailing list have asked about how to import pages from other PDFs as forms, our current solution is LayerUtility, which is depends on PDFCloneUtility. Both these classes are surprisingly complex for what should be a simple task.

The two main tasks which these classes perform is copying the page's COSStream and cloning every relevant COS object. However, there seems to be no real need to do any of this copying and cloning - there's nothing about any of the COS objects which is specific to a given document. While a COSStream can share the same backing file as the COSDocument, this isn't a problem for COSWriter, even then we need only make sure that an exception is thrown if a COSStream is used after its parent COSDocument is closed.

Note that there *is* one artificial dependency between COSDictionary and COSArrays and their parent COSDocument, that is that calling close() on the COSDocument clears the contents of all child COSDictionary and COSArrays. However, there's no need for this, it seems to have come about due to some long past confusion regarding how garbage collection works in Java - we all know that it's not necessary to set objects to null or clear lists when we are done with them.

I propose that we get rid of the unnecessary object and list clearing in COSDocument#close() and add some checks to COSStream to throw user-friendly exceptions when reading from a closed backing stream. This will allow us to directly share COS objects between different COSDocuments, allowing simple ""x = y"" copying and making LayerUtility and PDFCloneUtility unnecessary. Instead of:

{code}
COSStream pageStream = (COSStream)page.getStream().getCOSObject();
PDStream newStream = new PDStream(targetDoc, pageStream.getUnfilteredStream(), false);
PDFormXObject form = new PDFormXObject(newStream);

PDResources pageRes = page.getResources();
PDResources formRes = new PDResources();
PDFCloneUtility cloner = new PDFCloneUtility(document);
cloner.cloneMerge(pageRes, formRes);
form.setResources(formRes);
{code}

We could have:
{code}
PDFormXObject form = new PDFormXObject(page.getStream());
form.setResources(page.getResources());
{code}",", "
"   Move Class,Extract Method,","Provide easier access to AcroForm field tree The current implementation of the AcroForm field retrieval methods donâ€™t provide an easy access to get to all fields as 
 - one needs to retrieve the documents root fields
 - check if these are non-terminal fields
 - retrieve their childs
 - move on until all terminal fields have been retrieved

There should be a way to easier get access to all terminal fields  ","Duplicated Code, Long Method, , "
"   Move Method,Move Attribute,",Remove old parser After making the non-sequential parser the default parser (PDFBOX-2430) and enabling signing with the non-sequential parser it is time to remove the old one.,", , , "
"   Rename Class,Rename Method,Push Down Method,Push Down Attribute,",Remove old parser After making the non-sequential parser the default parser (PDFBOX-2430) and enabling signing with the non-sequential parser it is time to remove the old one.,", , , "
"   Rename Method,Extract Method,",Support TTC font files We need to support TrueType collections (TTC) files. It shouldn't be too difficult as they are simply a bundle of TTF files in a single container.,"Duplicated Code, Long Method, , "
"   Rename Method,Extract Method,","Make it easier to work with RadioButton Groups The current implementation of Radio Buttons in PDFBox 2.0 should be improved by
- renaming getOptions() to make it clearer that this gets the potential export values (although the dictionary entry is called /Opt)
- make it easier to inspect the possible values one can set for the various individual buttons","Duplicated Code, Long Method, , "
"   Rename Class,Move And Rename Class,Extract Interface,Rename Method,Extract Method,Inline Method,","Overhaul font substitution The improved font substitution mechanisms in 2.0 are not quite sufficient to handle all PDFs. Specifically, CJK substitution and substitution of TTF in place of CFF fonts is not possible with the current design.

The CJK problems can be seen in PDFBOX-2509 and PDFBOX-2563, which does not solve the problem. Additional font API weaknesses can be found in PDFBOX-2578 and PDFBOX-2366. This meta-issue aims to address all of those sub-issues.

The current problems are:

- FontBox does not provide a generic font type, so we have handle TrueTypeFont, CFFFont, and Type1Font separately. This hinders cross-format substitution.
- ExternalFonts has no knowledge of the CIDSystemInfo which is necessary for CJK substitution
- FontProvider contains too much public logic which should be internal to PDFBox, e.g. substitution logic, this makes it brittle and means we won't be able to add additional logic after 2.0 is released, e.g. CJK substitution.
- Too much confusion about the role of ExternalFonts, particularly with regards to mapping of built-in fonts and the definition of substitute vs. fallback font.
- ExternalFonts is a black box: the user cannot tell whether the font returned is an exact match, or a last-resort fallback.
- Confusing font substitution API, users preferred having a flat file format
- PDSimpleFont#getEncoding() can return null for TTFs which use built-in encodings. This has caused a lot of bugs - there must be a better way.
- We still have some confusing names, for example a CustomEncoding is known as a ""built-in encoding"" in the spec.
- There is no fallback CFF font, we resort to AdobeBlank instead, which has no rendering.","Duplicated Code, Long Method, , , Large Class, "
"   Rename Method,","Align annotation and form public API The public API for annotation and form differs in 

- visibility for flag fields
- method naming conventions",", "
"   Rename Class,Rename Method,Extract Method,Inline Method,Move Attribute,","Simplify COSStream encoding and decoding Performance issues and memory usage issues surrounding streams are one of the few things blocking the release of 2.0 (see  PDFBOX-2301, PDFBOX-2882, PDFBOX-2883).

Though we've managed to reduce some of the memory used by RandomAccessBuffer and to take advantage of buffering of scratch files, we still have problems with the amount of memory which COSStream holds onto. Changes introduced in 2.0 have resulted in COSStreams having a very complex relationship with classes which hold a lot of memory in complex ways (e.g. the fields: tempBuffer, filteredBuffer, unfilteredBuffer, filteredStream, unFilteredStream, scratchFile). Access to scratch file pages in particular does not seem to be well regulated, especially with regards to multithreading (an avenue we'd at least like to leave open).

Given recent flux, I'm doubtful that we can ship the current API for COSStream w.r.t. RandomAccess without shipping performance issues or flaws which will be unfixable without breaking changes.

One of the recent changes to COSStream is that it now exposes a RandomAccess, this is so that PDFStreamParser can parse content streams (as well as other subclasses which handle xref and object streams). However, streams are fundamentally not random access - stream filters are sequential. While the consumer of a stream may wish to buffer the data (in memory or scratch) for random access, COSStream itself does not need to expose such an elaborate API - many pieces of gymnastics are performed inside COSStream to present this illusion, at significant cost. We should remove that.

But what about providing a RandomAccess for PDFStreamParser, PDFObjectStreamParser, and PDFXrefStreamParser? It turns out that those classes don't actually perform random I/O. They perform sequential I/O with a buffer for peek/unread.

We need to simplify to get 2.0 fast, lean, and maintainable. Here's what I think we should do:

1. Split the interfaces for sequential and random I/O
- Introduce a new SequentialSource interface for sequential I/O, with thin wrappers for RandomAccessRead and InputStream.
- BaseParser will use SequentialSource rather than RandomAccessRead (this will be inherited by PDFStreamParser, PDFObjectStreamParser, and PDFXrefStreamParser).
- COSParser will use RandomAccessRead and pass a SequentialSource wrapper to it's superclass, BaseParser.

2. Remove RandomAccess APIs from COSStream, expose only InputStream and OutputStream, as we used to do. We can pass an InputStream to PDFStreamParser using a wrapper which implements SequentialSource. This will remove tempBuffer, filteredBuffer, and unfilteredBuffer from COSStream, all of which hold memory.","Duplicated Code, Long Method, , , , "
"   Rename Method,","Remove COSStreamArray / SequenceRandomAccessRead This ties in with my COSStream simplification in PDFBOX-2893.

COSStreamArray is a troublesome abstraction, it's not a real COS object and it's the only COS object which can be generated _after_ parsing. Look at the implementation of COSStreamArray, most methods throw an exception because it's _not_ a COSStream - it violates the contact of the very thing it claims to be. Even PDPageContentStream has to use instanceof to ""peer through""  the abstraction of COSStreamArray.

There's no reason to have this class, other than to duck-tape flaws in 1.8's APIs, namely that PDPage#getStream() returns a PDStream and PDFStreamParser expects a PDStream, yet both of these may be arrays of streams.

We can fix this in 2.0 by getting rid of the erroneous PDPage#getStream() and by exposing the array of streams, rather than attempting to hide them. Hopefully this will also fix existing errors which may be lurking throughout the codebase (see first comment, below) which are associated with mistaking COSStreamArray for a COSStream. We can still provide an InputStream API which abstracts over the array of streams, because there's nothing wrong with that - so users can have the same simple and convenient experience.

An added benefit of doing this is that it will allow us to remove SequenceRandomAccessRead, a highly complex memory-holding class.",", "
"   Move Class,Push Down Method,Push Down Attribute,","Make FontMapper into a singleton interface As discussed on the dev mailing list, some users want to provide completely custom implementations of FontMapper. It seems that the easiest way to do this is to make the static FontMapper into a singleton which can be replaced entirely with a user's implementation.",", , , "
"   Rename Method,","Right now PDFBOX does not permit to sign multiple files while calling an external signing service. Since to sign a PDF you forced the implementation of the SignatureInterface interface, is not possible to prepare N hashes from N PDF files and then send them to a signing service that accepts multiple hashes with a single signon.
For example if I use an OTP signing service.

What would be nice to have is to separate the hash calculation from the signing. 

Instead to implement the Interface I would like to have something like this:

1) calculate hash from document with the new signature dictionary bytes
2) sign the hash
3) insert the signature into pdf

This way I could achieve to sign for example 100 pdf files calling the service once.
Right now must ask the user to sign in 100 times.

Thanks in advance.
Andrea.


 

",", "
"   Extract Method,Inline Method,","Cache glyph table to optimize concurrent access If several threads convert several pdf to png (one thread access to a single document at a time) they are a contention on a lock in GlythTable. Jstack shows that all threads are in state blocked on the synchronized block  in the getGlyph method. The lock is necessary, it's ok, but degrades performance.

This patch cache glyphs already read. 
With the patch PDFBOX-3080, the follow benchmark compare 1000 pdf conversions with 1, 8, and 50 threads.

|| Simulation|| PDF 2.0-SNAPSHOT || With this patch + PDFBOX3080 ||
|| 1000 conversions / 1 thread | 120 s | 71 s|
|| 1000 conversions / 8 threads | 76 s | 28 s|
|| 1000 conversions / 50 threads | 81 s | 33 s|","Duplicated Code, Long Method, , , "
"   Move And Rename Class,","Reduce amount of intermediate data and objects to reduce memory footprint/complexity The CFFParser holds a lot of intermediate data and produces a lot of objects to do so. The idea is to reduce the amount of such objects and data to reduce the memory footprint and the complexity.

- the class IndexData holds intermediate data creates byte array everytime when getBytes is called. I'm going to replace the class with a simple list to reduce the memory footprint and the complexity
- remove unused members of private classes
- create a list of strings instead of a list of byte arrays which is used to create those strings",", "
"   Move Method,Extract Method,","Reduce amount of intermediate data and objects to reduce memory footprint/complexity The CFFParser holds a lot of intermediate data and produces a lot of objects to do so. The idea is to reduce the amount of such objects and data to reduce the memory footprint and the complexity.

- the class IndexData holds intermediate data creates byte array everytime when getBytes is called. I'm going to replace the class with a simple list to reduce the memory footprint and the complexity
- remove unused members of private classes
- create a list of strings instead of a list of byte arrays which is used to create those strings","Duplicated Code, Long Method, , , "
"   Rename Method,","PDImageXObject.createFromFile should relies on header bytes PDImageXObject.createFromFile currently relies on file extension to select the correct factory.
Often, file extension is not set or not correct.
It should be better to use the first bytes.

I did something similar here if it can helps: https://github.com/sismics/docs/blob/master/docs-core/src/main/java/com/sismics/util/mime/MimeTypeUtil.java#L26",", "
"   Rename Method,","Rename structure element setter of PDOutlineItem While playing around with the library I stumbled over a naming inconsistency between the getter and setter of a {{PDOutlineItem}} structure element.

The getter is named {{getStructureElement}} whereas the setter is named {{setStructuredElement}} which is a bit confusing.",", "
"   Rename Method,Pull Up Method,","Refactor to allow tsa timestamping for visible signatures Put TSA stuff into SignatureBase, allow tsa parameter.",", Duplicated Code, "
"   Rename Class,Rename Method,",Move Glyph2D functionality into PDFont subclasses The Glyph2D classes perform some extra normalisation and substitution of glyph paths so that they are ready for final rendering. It would be better for this functionality to be part of the various PDFont subclasses so that it's easy to get access to the final glyph bounds. We've had [user requests for this|http://pdfbox-dev.markmail.org/search/?q=glyph2d#query:glyph2d+page:1+mid:ww4vslm4xnztxvol+state:results].,", "
"   Rename Method,","Add COSBoolean(false) as option in PDDocumentCatalog's getOpenAction Over on Tika, we've started allowing users to extract PDActions.  In our recent regression tests, we found a few new exceptions while trying to get the OpenAction from PDDocumentCatalog.

The easy one to fix is: 

{noformat}
java.io.IOException: Unknown OpenAction false
	at org.apache.pdfbox.pdmodel.PDDocumentCatalog.getOpenAction(PDDocumentCatalog.java:261)
	at org.apache.tika.parser.pdf.AbstractPDF2XHTML.startDocument(AbstractPDF2XHTML.java:460)

{noformat}

The object is a COSBoolean with value=false.

I'll open a separate issue for the other new (to us) exception.",", "
"   Rename Method,","Improve and refactor RemoveAllText example Refactor double code and include patterns, not just xobject forms when going through resources. This will be a better template for utilities that work on the content stream tokens, e.g.
https://stackoverflow.com/a/45259160/535646",", "
"   Rename Method,","Add Certificate Dictionary to seed value in signature field This dictionary is important as it gives the ability to put certificate constraints on a signature field, like if you want signatures that are signed by a specific issuer or authority to only be used in a field.

currently tested Issuer constraint and it worked, acrobat reader ignores other certificates and only allow the issuer given to sign the field. documentation is not complete waiting for the initial acceptance to complete.

new class PDSeedValueCertificate is added which refers to this certificate.
PDSeedValue is modified to add the new dictionary.
COSName is modified to add the new pdf names that are included in the dictionary.

reference for this dictionary can be found in PDF reference 1.7 section 12.7.4.5 table 235 page 457 in here http://www.adobe.com/content/dam/acom/en/devnet/pdf/PDF32000_2008.pdf
 or chapter 8 table 8.84 page 700 in here http://archimedespalimpsest.net/Documents/External/pdf_reference_1-7.pdf

and in here
https://www.adobe.com/devnet-docs/acrobatetk/tools/DigSig/Acrobat_DigitalSignatures_in_PDF.pdf

this is my first contribution, hope everything goes well.",", "
